PlayerID,Player,Age,Games,Minutes,FGM,FGA,FTM,FTA,ORB,TRB,AST,STL,BLK,PF,PTS,FGP,FTP,MPG,PPG,RPG,APG,WS25,RANDOM
duartch01,Chris Duarte,24,55,1541,268,621,90,112,41,226,114,56,10,95,720,0.432,0.804,28,13.1,4.1,2.1,0,
marshna01,Naji Marshall,23,32,700,82,209,53,75,15,148,88,26,10,58,246,0.392,0.707,21.9,7.7,4.6,2.8,2.5,
pritcpa01,Payton Pritchard,23,66,1268,184,418,40,45,33,158,120,37,9,104,510,0.44,0.889,19.2,7.7,2.4,1.8,0.6,
windldy01,Dylan Windler,24,31,513,57,130,21,27,20,107,33,19,12,37,161,0.438,0.778,16.5,5.2,3.5,1.1,0.8,
clarkbr01,Brandon Clarke,23,58,1300,296,479,85,112,92,345,81,32,48,100,700,0.618,0.759,22.4,12.1,5.9,1.4,6.3,
daviste02,Terence Davis,22,72,1209,199,436,51,59,50,237,115,39,14,124,543,0.456,0.864,16.8,7.5,3.3,1.6,0.9,
huntede01,DeAndre Hunter,22,63,2018,280,683,110,144,44,286,112,44,18,182,778,0.41,0.764,32,12.3,4.5,1.8,2.5,
johnsca02,Cameron Johnson,23,57,1255,176,405,46,57,49,187,69,36,20,88,504,0.435,0.807,22,8.8,3.3,1.2,5.6,
martico01,Cody Martin,24,48,903,89,207,42,65,38,158,95,39,9,78,238,0.43,0.646,18.8,5,3.3,2,1.1,
mclaujo01,Jordan McLaughlin,23,30,590,87,178,26,39,7,49,125,34,4,31,229,0.489,0.667,19.7,7.6,1.6,4.2,2.3,
nunnke01,Kendrick Nunn,24,67,1962,401,914,85,100,21,180,220,56,15,152,1024,0.439,0.85,29.3,15.3,2.7,3.3,2.9,
pascher01,Eric Paschall,23,60,1654,318,640,164,212,82,275,127,32,13,125,837,0.497,0.774,27.6,14,4.6,2.1,2,
thybuma01,Matisse Thybulle,22,65,1287,112,265,25,41,44,107,79,94,47,141,305,0.423,0.61,19.8,4.7,1.6,1.2,2.1,
bateske01,Keita Bates-Diop,23,30,503,60,142,18,28,16,83,17,18,14,29,151,0.423,0.643,16.8,5,2.8,0.6,0.3,
bridgmi01,Mikal Bridges,22,82,2417,242,563,95,118,56,264,173,129,38,201,684,0.43,0.805,29.5,8.3,3.2,2.1,8.9,
brownbr01,Bruce Brown,22,74,1449,125,314,45,60,48,185,91,40,36,178,319,0.398,0.75,19.6,4.3,2.5,1.2,4.8,
brunsja01,Jalen Brunson,22,73,1591,264,565,87,120,25,169,230,37,4,127,678,0.467,0.725,21.8,9.3,2.3,3.2,7.5,
carteje01,Jevon Carter,23,39,577,56,185,26,32,14,66,69,26,11,55,172,0.303,0.813,14.8,4.4,1.7,1.8,1.6,
clarkga01,Gary Clark,24,51,641,50,151,7,7,24,116,18,20,26,47,148,0.331,1,12.6,2.9,2.3,0.4,1.2,
grahade01,Devonte Graham,23,46,676,74,216,35,46,10,63,121,23,2,48,217,0.343,0.761,14.7,4.7,1.4,2.6,3.4,
holidaa01,Aaron Holiday,22,50,646,105,262,41,50,5,67,87,21,13,71,294,0.401,0.82,12.9,5.9,1.3,1.7,1.5,
shamela01,Landry Shamet,21,79,1802,240,557,75,93,21,134,117,37,10,155,722,0.431,0.806,22.8,9.1,1.7,1.5,1.2,
willike04,Kenrich Williams,24,46,1079,107,279,13,19,55,219,83,45,19,95,279,0.384,0.684,23.5,6.1,4.8,1.8,0.9,
adebaba01,Bam Adebayo,20,69,1368,174,340,129,179,118,381,101,32,41,138,477,0.512,0.721,19.8,6.9,5.5,1.5,7.4,
anunoog01,OG Anunoby,20,74,1481,163,346,39,62,44,184,55,52,14,130,438,0.471,0.629,20,5.9,2.5,0.7,4.7,
bacondw01,Dwayne Bacon,22,53,713,72,192,20,25,4,124,38,16,2,46,175,0.375,0.8,13.5,3.3,2.3,0.7,0.5,
